NSPHCDA Data Portal — Project Workplan & Tracker,,,,,,,
Client: FACT Foundation  |  Lead Agency: NSPHCDA  |  Funded by: Umbrella Fund,,,,Delivery Partner: Zerasage Technologies  |  Project Start: 8 June 2026  |  End: 9 October 2026,,,
"STATUS KEY:   ✅ Completed = task done on or before deadline   🔵 In Progress = currently being worked on   ⬜ Not Started = scheduled but not yet begun   ⚠️ At Risk = behind pace but recoverable   🔴 Overdue = past deadline, not done",,,,,,,
#,Week,Dates,Task / Activity,Output / Deliverable,Owner,Status,Notes / Comments
2.16,Week 8,31 Jul,"Write and deliver User Testing Report #1: usability findings by feature area, design revisions implemented, outstanding issues list, participant feedback summary",User Testing Report #1,Zerasage Lead,Not Started,
2.17,Week 8,31 Jul,Submit all Milestone 2 deliverables to FACT Foundation for formal sign-off,M2 sign-off request submitted,Zerasage Lead,Not Started,"Triggers ₦2,000,000 invoice"
  MILESTONE 3 — Advanced Features & Integration,,,,,,,
"  ToR Deliverables: (1) User Testing Report #2  (2) Full-feature Functional Data Repository on Staging  (3) API Documentation Published (Swagger/OpenAPI 3.0)  |  Budget: ₦2,000,000 | Weeks 9–13 | 3 Aug – 5 Sep 2026",,,,,,,
  WEEK 9 — Revisions from UAT #1 & Analytics Dashboard,,,,,,,
3.1,Week 9,3–7 Aug,Apply all design and UX revisions identified in User Testing Report #1 to staging MVP,Updated MVP on staging,Zerasage Full-stack,Not Started,
3.2,Week 9,3–7 Aug,"Build Analytics Dashboard — disease metric selector dropdown (malaria, meningitis, cholera, diphtheria, immunisation, U5 mortality), Export button",Analytics header + selector live,Zerasage Frontend,Not Started,
3.3,Week 9,3–7 Aug,"Build Analytics Dashboard — 4 KPI cards (Total Cases, Health Facilities, LGAs Covered, Outlier Facilities)",KPI cards live with live data,Zerasage Full-stack,Not Started,
3.4,Week 9,3–7 Aug,"Build Analytics Dashboard — Trends Over Time line chart (2013–present) with Trends/Seasonality toggle, Top 10 LGAs bar chart",Charts live,Zerasage Full-stack,Not Started,
3.5,Week 9,3–7 Aug,"Build Analytics Dashboard — LGA Burden Summary table (all 25 LGAs, sortable columns: Rank, LGA, Total Cases, Facilities, Population, Incidence/1,000) + Outlier Facilities z-score table",Full analytics page complete,Zerasage Full-stack,Not Started,
  WEEK 10 — GIS Mapping & Spatial Data,,,,,,,
3.6,Week 10,10–14 Aug,"PostGIS: Load Niger State LGA boundary shapefiles (25 LGAs with names, codes, area) into database",LGA boundaries in PostGIS,Zerasage Backend,Not Started,
3.7,Week 10,10–14 Aug,PostGIS: Load Niger State Ward boundary shapefiles (~274 wards) into database,Ward boundaries in PostGIS,Zerasage Backend,Not Started,
3.8,Week 10,10–14 Aug,"Build GIS Disease Burden Map page — full-screen Leaflet.js map, proportional red bubble markers by case count, zoom controls, Niger State population badge",GIS Mapping page live,Zerasage Full-stack,Not Started,
3.9,Week 10,10–14 Aug,"GIS Disease Burden Map — filter panel (metric selector, value type, case range inputs, year + month dropdowns, LGA dropdown, ward dropdown)",Filter panel live,Zerasage Frontend,Not Started,
3.10,Week 10,10–14 Aug,"GIS Disease Burden Map — yearly trend mini-chart (bottom-left, 2013–present, click-to-monthly) + Burden Summary panel (top/bottom 5 LGAs)",Mini-chart and summary panel live,Zerasage Frontend,Not Started,
3.11,Week 10,10–14 Aug,"Build GIS Health Facility Map page — blue dot markers per facility, facility name hover label, popup (Name, LGA, Ward, Facility Code, Type), filter panel (search, LGA/ward/type dropdowns)",GIS Facility Map page live,Zerasage Full-stack,Not Started,
3.12,Week 10,14 Aug,Send Fortnightly Sprint Report #3 to FACT Foundation,Sprint Report #3,Zerasage Lead,Not Started,
"  WEEK 11 — Campaigns, AI Assistant & API Documentation",,,,,,,
3.13,Week 11,17–21 Aug,"Build Campaigns module — campaign listing page with hero banner, campaign cards (name, status badge, start date, coverage %, vaccinated count, target, active days, LGA count, progress bar), admin CRUD for campaign records",Campaigns page live,Zerasage Full-stack,Not Started,
3.14,Week 11,17–21 Aug,"Build AI Assistant floating widget — green chat bubble (all pages), chat panel, Niger State-tailored greeting, 5 quick question shortcuts, text input + send; backend RAG pipeline over portal data via LLM API",AI Assistant live,Zerasage Full-stack,Not Started,Claude or OpenAI API
3.15,Week 11,17–21 Aug,"Publish REST API documentation via Swagger/OpenAPI 3.0 at /api/docs — covers all endpoints: auth, datasets, search, upload, spatial queries, analytics",API docs published at /api/docs,Zerasage Backend,Not Started,
"  WEEK 12 — Integration, Bulk Import, Security Audit & Tools Section",,,,,,,
3.16,Week 12,24–28 Aug,"DHIS2 interoperability assessment: evaluate DHIS2 API availability for Niger State, document integration options, design sync connector architecture if applicable",DHIS2 assessment note,Zerasage Lead + FACT,Not Started,Connector built only if API is accessible
3.17,Week 12,24–28 Aug,"Build admin bulk import tool — batch upload multiple datasets simultaneously with metadata applied via XLSX template, avoiding manual entry per dataset",Bulk import tool live,Zerasage Backend,Not Started,
3.18,Week 12,24–28 Aug,"Build access request system for restricted datasets — request form, admin approval/rejection flow, email notification to requester",Access request flow live,Zerasage Full-stack,Not Started,
3.19,Week 12,24–28 Aug,"Build Tools & Learning page — hero carousel (2 slides), tutorial search bar, 5 tabs (Video Tutorials, E-Books & Guides, Core Tools, Sample Data & Tutorials, Learning Path), QGIS featured playlist, 4 resource cards",Tools & Learning page live,Zerasage Frontend,Not Started,
3.20,Week 12,24–28 Aug,"Security audit: HTTPS enforcement, CORS configuration, SQL injection testing, XSS testing, RBAC penetration check, ClamAV verification, AES-256 at-rest encryption check",Security audit checklist signed off,Zerasage DevOps,Not Started,
  WEEK 13 — Usability Testing Session #2 & Milestone 3 Sign-Off,,,,,,,
3.21,Week 13,31 Aug–5 Sep,"Conduct Usability Testing Session #2 with government stakeholders — structured walkthrough of full-feature staging platform (in-person, Niger State)",Usability session conducted,Both teams,Not Started,Second on-site visit — Niger State. Travel covered by FACT.
3.22,Week 13,5 Sep,"Write and deliver User Testing Report #2: findings by feature, design revisions implemented, outstanding issues, participant feedback summary, next iteration plan",User Testing Report #2,Zerasage Lead,Not Started,
3.23,Week 13,5 Sep,Send Monthly Milestone Report #3 to FACT Foundation Director and government counterpart,Monthly Milestone Report #3,Zerasage Lead,Not Started,
3.24,Week 13,5 Sep,Submit all Milestone 3 deliverables to FACT Foundation for formal sign-off,M3 sign-off request submitted,Zerasage Lead,Not Started,"Triggers ₦2,000,000 invoice"
"  MILESTONE 4 — Launch, Handover & Sustainability",,,,,,,
"  ToR Deliverables: (1) Live Production System  (2) Technical Documentation & Source Code  (3) Admin User Manual (PDF + Video)  (4) Staff Training Completion  (5) Sustainability Roadmap  (6) Final Project Report  |  Budget: ₦1,250,000 | Weeks 14–18 | 7 Sep – 9 Oct 2026",,,,,,,
  WEEK 14 — Final Revisions & Production Server Provisioning,,,,,,,
4.1,Week 14,7–11 Sep,Apply all remaining design and UX fixes identified in User Testing Report #2,Final staging build — no outstanding P1 or P2 issues,Zerasage Full-stack,Not Started,
4.2,Week 14,7–11 Sep,"Performance audit: Core Web Vitals, page load target <3 seconds, search response target <5 seconds; optimise images, enable lazy loading, CDN for map tiles",Performance audit report,Zerasage DevOps,Not Started,
4.3,Week 14,7–11 Sep,"Provision production server on Galaxy Backbone (or approved Nigerian sovereign hosting): VPS configuration, environment variables, database migration, production Docker compose",Production server provisioned,Zerasage DevOps,Not Started,Hosting cost billed directly to FACT/government
4.4,Week 14,11 Sep,Send Fortnightly Sprint Report #4 to FACT Foundation,Sprint Report #4,Zerasage Lead,Not Started,
"  WEEK 15 — Production Deployment, Security Sign-Off & Admin Manual",,,,,,,
4.5,Week 15,14–18 Sep,"Deploy full platform to production: DNS configuration, SSL certificate (Let's Encrypt), domain setup, production environment verification",Production environment live,Zerasage DevOps,Not Started,
4.6,Week 15,14–18 Sep,Penetration test and security sign-off on production environment,Security sign-off report,Zerasage DevOps,Not Started,
4.7,Week 15,14–18 Sep,"Write Admin User Manual (50+ pages PDF): all administrative operations with screenshots — user management, dataset approval, audit log review, campaign management, system settings",Admin User Manual PDF,Zerasage Lead,Not Started,
4.8,Week 15,14–18 Sep,Record admin walkthrough video: screen-recorded tutorial covering all admin panel operations,Training video recording,Zerasage Lead,Not Started,
  WEEK 16 — Technical Documentation & Source Code Handover,,,,,,,
4.9,Week 16,21–25 Sep,"Produce complete Technical Architecture Documentation: ER diagrams, API reference, database schema diagrams, configuration guide, deployment instructions (README + runbook)",Technical documentation set,Zerasage Lead,Not Started,
4.10,Week 16,21–25 Sep,"Source code handover: transfer private GitHub repository to FACT Foundation / government counterpart; verify access; include README, environment setup guide, deployment runbook",GitHub repository transferred and access verified,Zerasage Lead + FACT IT,Not Started,Client receives full source code ownership
4.11,Week 16,21–25 Sep,"Write Sustainability Roadmap: recommended maintenance schedule, scaling pathway, future integration options (DHIS2, national health registries), estimated operational costs, in-house capacity building plan, 30-day support terms",Sustainability Roadmap document,Zerasage Lead,Not Started,
  WEEK 17 — Staff Training & Final Reports,,,,,,,
4.12,Week 17,28 Sep–2 Oct,Deliver in-person training session: Admin panel and data contributor training for designated government Super Admin and MDA data contributors (Abuja),Training attendance register; Completion certificate,Zerasage Lead,Not Started,
4.13,Week 17,28 Sep–2 Oct,Deliver in-person technical handover training for government IT staff / future technical maintainer,Technical handover training completion certificate,Zerasage Lead,Not Started,
4.14,Week 17,2 Oct,"Write Final Project Report: complete deliverables inventory, acceptance confirmation against all ToR requirements, lessons learned, sustainability recommendations, transition certification",Final Project Report,Zerasage Lead,Not Started,
4.15,Week 17,2 Oct,Send Monthly Milestone Report #4 to FACT Foundation Director and government counterpart,Monthly Milestone Report #4,Zerasage Lead,Not Started,
  WEEK 18 — Milestone 4 Sign-Off & Post-Launch Support Begins,,,,,,,
4.16,Week 18,5–9 Oct,Submit all Milestone 4 deliverables to FACT Foundation for formal sign-off,M4 sign-off request submitted,Zerasage Lead,Not Started,"Triggers ₦1,250,000 invoice"
4.17,Week 18,5 Oct,30-day post-launch support window begins — email and phone response within 24 hours for all operational issues arising after go-live,Support period active: 5 Oct – 4 Nov 2026,Zerasage Lead,Not Started,
  STANDING CADENCE — Runs Throughout All Milestones,,,,,,,
  These activities recur throughout the project. They are NOT one-off tasks.  |  Every 2 weeks or monthly — see frequency column,,,,,,,
C.1,Fortnightly,Every 2 weeks,"Fortnightly Sprint Report: features completed, blockers, decisions required from FACT Foundation, next sprint objectives, updated risk log — sent to FACT Foundation Project Lead",Sprint Report (written),Zerasage Lead,In Progress,"Reports due: 3 Jul, 17 Jul, 31 Jul, 14 Aug, 28 Aug, 11 Sep, 25 Sep"
C.2,Fortnightly,Every 2 weeks,"Fortnightly Sprint Review Demo: live demo of completed features on staging, discussion of blockers and decisions required",Sprint review call (Google Meet),Both teams,In Progress,Same schedule as sprint reports
C.3,Monthly,End of each month,"Monthly Milestone Report: deliverable status against ToR, budget and time tracking, risk register update, upcoming milestone preview, sign-off request — sent to FACT Foundation Director + Government Counterpart",Monthly Milestone Report (PDF),Zerasage Lead,Not Started,"Due: end of Jun, Jul, Aug, Sep"
C.4,Always-on,Continuous,"Shared project board (Notion or agreed tool) kept up to date — real-time task visibility, document sharing, and decision logging accessible to FACT Foundation at all times",Live project board,Both teams,In Progress,
C.5,Always-on,Continuous,WhatsApp project channel maintained for time-sensitive decisions between Zerasage and FACT Foundation project leads,Active WhatsApp channel,Both teams,In Progress,
C.6,Post-launch,5 Oct – 4 Nov,30-day post-launch support: email and phone response within 24 hours for any operational issue arising after production go-live,Support log,Zerasage Lead,Not Started,Informal advisory also available for strategic questions outside technical scope
